libelle_geographique;code_insee;nombre_d_actifs_exercant_une_profession_culturelle;nombre_total_d_actifs;part_des_professionnels_de_la_culture_parmi_les_actifs
Nogent-le-Rotrou;54;275;17853;1.5403573629081946
Avignon;59;4022;188341;2.135488289857227
Le Centre-Atlantique;204;140;13770;1.016702977487291
L'Est;401;255;29537;0.8633239665504283
L'Ouest;403;889;65611;1.3549557238877628
Melun;1105;2617;131504;1.9900535344932473
Houdan;1109;328;11962;2.7420163852198627
Évry-Courcouronnes;1115;1788;131007;1.3648125672673979
Saclay;1116;10814;506066;2.1368754273158044
Vitry-le-François - Saint-Dizier;2107;313;40408;0.7745990892892496
Saint-Quentin;2205;338;45224;0.7473907659649743
Soissons;2206;248;29790;0.8324941255454851
Beauvais;2207;969;83901;1.1549325991346944
Bernay;2301;215;18570;1.1577813677975228
Châteaudun;2405;174;12225;1.4233128834355828
Chinon;2410;167;15416;1.0832900882200311
Honfleur;2503;475;23057;2.0601118966040683
Lisieux;2504;367;25341;1.4482459255751547
Le Charolais;2611;251;29170;0.8604730887898525
Roubaix - Tourcoing;3110;3344;138158;2.4204172034916547
Douai;3114;668;76383;0.8745401463676472
Arras;3121;844;92270;0.9147068386257722
Bar-le-Duc;4104;151;22503;0.6710216415589032
Remiremont;4113;349;30837;1.131757304536758
Saint-Dié-des-Vosges;4114;314;27245;1.1525050467975775
Strasbourg;4205;7372;281959;2.6145645288854054
Wissembourg;4206;70;10928;0.6405563689604685
Colmar;4207;1161;83642;1.3880586308314005
Mulhouse;4208;2038;158388;1.2867136399222163
Belfort - Montbéliard - Héricourt;4302;1532;133547;1.1471616734183472
Dole;4305;259;26070;0.9934790947449176
Gray;4308;103;9812;1.049735018344884
Châteaubriant;5202;210;14071;1.4924312415606567
Saint-Nazaire;5204;1503;112147;1.3402052663022639
Cholet;5206;1355;91665;1.4782086947035402
Saumur;5207;514;36795;1.3969289305612176
Le Mans;5213;2221;162116;1.3700066618964197
Loudéac;5304;172;16209;1.0611388734653588
Redon;5311;365;18646;1.9575244020165183
Rochefort;5408;689;39100;1.762148337595908
La Rochelle;5409;2036;96393;2.11218656956418
Parthenay;5411;160;11769;1.3595037811198913
Sarlat-la-Canéda;7203;540;18641;2.8968402982672603
Foix - Pamiers;7301;614;43522;1.4107807545609117
Saint-Girons;7302;212;11461;1.849751330599424
Villefranche-de-Rouergue;7305;226;13420;1.684053651266766
Saint-Gaudens;7306;346;20926;1.6534454745292935
Tulle;7401;338;27881;1.2122951113661633
Limoges;7404;2353;143621;1.63833979710488
Ambérieu-en-Bugey;8201;374;35441;1.0552749640247172
Bourg-en-Bresse;8202;869;58121;1.4951566559419143
Romans-sur-Isère;8207;469;30775;1.5239642567018683
Le Chablais;8222;644;37007;1.740211311373524
Aurillac;8304;393;34108;1.1522223525272663
Clermont-Ferrand;8310;3919;225642;1.736822045541167
Narbonne;9103;988;54621;1.808828106405961
Ganges;9110;408;12900;3.1627906976744184
Nice;9307;5868;231953;2.529822852043302
Arles;9309;714;28677;2.489800188304216
Fréjus - Saint-Raphaël;9314;1277;67265;1.8984613097450382
Orange;9317;320;32064;0.998003992015968
Ajaccio;9401;829;49513;1.674307757558621
Calvi - L'Île-Rousse;9405;146;8547;1.7082017082017082
Mont-de-Marsan;50;688;64989;1.0586406930403607
Cosne - Clamecy;52;347;24636;1.4085078746549764
Pointe-à-Pitre;101;1402;87245;1.606968880738151
Meaux;1104;552;42551;1.2972668092406758
Montereau-Fault-Yonne;1106;141;14066;1.0024171761694867
Provins;1108;180;13228;1.3607499244027819
Orly;1118;4673;210883;2.215920676394019
Cergy;1119;2415;142826;1.69086860935684
Troyes;2102;1342;113009;1.1875160385456025
Châlons-en-Champagne;2103;401;43628;0.919134500779316
Château-Thierry;2201;254;21321;1.1913137282491442
Tergnier;2202;99;15934;0.6213129157775825
Péronne;2211;165;19549;0.8440329428615275
Vernon - Gisors;2304;586;39569;1.4809573150698778
Bourges;2401;971;74392;1.3052478761157114
Saint-Amand-Montrond;2402;178;11849;1.5022364756519537
Dreux;2406;393;32668;1.203012121954206
Issoudun;2408;93;8761;1.0615226572309098
Loches;2411;166;8420;1.9714964370546317
Tours;2412;4377;217364;2.0136729173184156
Orléans;2418;2992;203209;1.4723757313898498
Vire Normandie;2505;224;16284;1.3755833947433063
L'Aigle;2513;71;11641;0.6099132376943561
Montbard;2604;129;12576;1.025763358778626
Autun;2607;221;11748;1.8811712631937352
Calais;3125;572;52174;1.0963315061141565
Lunéville;4102;86;11341;0.7583105546248127
Nancy;4103;3533;205948;1.7154815778740264
Commercy;4105;91;12753;0.7135575942915392
Sarreguemines;4110;366;36594;1.0001639613051319
Épinal;4112;750;60205;1.2457437089942696
Angers;5205;3330;190337;1.7495284679279384
Mayenne;5210;203;20813;0.9753519434968528
La Ferté-Bernard;5211;81;14611;0.5543768393675997
Les Herbiers;5217;533;28288;1.884191176470588
Dinan;5301;617;31378;1.9663458474090127
Saint-Brieuc;5305;1751;117340;1.4922447588205217
Thouars - Loudun;5401;226;23392;0.9661422708618331
Châtellerault;5402;343;30812;1.1132026483188366
Jonzac - Barbezieux-Saint-Hilaire;5404;263;22772;1.1549271034603898
Niort;5410;1250;95617;1.3072989112814668
Bergerac;7201;512;38145;1.3422466902608468
Pauillac;7206;204;17453;1.1688534922362916
Villeneuve-sur-Lot;7211;418;31818;1.3137217926959583
Bayonne;7212;3230;133409;2.421126010988764
Rodez;7304;846;71951;1.1758001973565344
Tarbes - Lourdes;7310;1184;89228;1.3269377325503204
Bourgoin-Jallieu;8209;1036;81581;1.269903531459531
Roanne;8212;724;51750;1.3990338164251208
Le Genevois Français;8219;1977;111337;1.7756900221848984
Ambert;8309;102;7979;1.2783556836696328
Limoux;9102;242;12974;1.8652689995375367
Bagnols-sur-Cèze;9105;305;25706;1.186493425659379
Nîmes;9106;2441;130298;1.8733979032678938
Béziers;9108;1331;76710;1.7351062442967018
Montpellier;9111;8387;283496;2.9584191664079915
Salon-de-Provence;9312;558;39001;1.430732545319351
Draguignan;9313;677;41228;1.6420879014262153
Cavaillon - Apt;9316;685;31015;2.2086087377075607
Porto-Vecchio;9402;161;11039;1.4584654407102093
Sartène - Propriano;9403;55;4199;1.3098356751607527
Roissy - Sud Picardie;56;8132;557423;1.4588562007667427
Brive-la-Gaillarde;57;1121;73322;1.5288726439540656
Marie-Galante;103;34;3240;1.0493827160493827
L'Est - Grande-Terre;106;230;17182;1.3386101734373181
Le Sud-Caraibe;202;282;16834;1.675181180943329
Le Nord-Caraibe;205;50;6165;0.8110300081103
Cayenne;301;593;46014;1.2887382101099667
Kourou;302;111;10003;1.1096670998700389
Le Sud;404;906;86618;1.0459719688748297
Rambouillet;1112;559;23225;2.4068891280947255
Étampes;1114;351;18247;1.9236038800898778
Épernay;2104;546;44974;1.2140347756481522
Reims;2105;2506;150646;1.6635025158318175
Chaumont - Langres;2106;447;43330;1.031617816755135
Compiègne;2208;857;73308;1.1690402138920717
Abbeville;2209;262;23504;1.114703880190606
Évreux;2302;859;77646;1.1063029647373979
Dieppe - Caux maritime;2305;507;46032;1.1014077163712201
Rouen;2307;4753;326984;1.4535879431409489
Chartres;2404;1206;88970;1.35551309430145
Châteauroux;2409;852;63285;1.3462905901872482
Romorantin-Lanthenay;2414;182;19448;0.9358288770053476
Gien;2416;336;29447;1.1410330424151867
Montargis;2417;481;39715;1.2111292962356792
Bayeux;2501;246;18901;1.3015184381778742
Caen;2502;3418;193664;1.7649124256444149
Avranches;2506;418;37194;1.1238371780394687
Saint-Lô;2510;428;35203;1.21580547112462
Flers;2512;267;35846;0.7448529822016403
Dijon;2603;2838;185465;1.5302078559296903
Le Morvan;2605;231;10389;2.2235056309558185
Nevers;2606;555;44306;1.2526520110143096
Louhans;2609;149;11637;1.280398728194552
Le Creusot - Montceau;2610;339;34253;0.9896943333430648
Sens;2614;366;35133;1.0417556143796431
Lille;3111;9145;400004;2.2862271377286225
Valenciennes;3115;983;120653;0.8147331603855685
Forbach;4108;418;63014;0.6633446535690481
Neufchâteau;4115;194;18983;1.0219670231259548
Vesoul;4309;452;44618;1.0130440629342419
Nantes;5203;12068;487105;2.47749458535634
Laval;5209;965;94696;1.0190504350764553
La Flèche;5212;196;18235;1.0748560460652592
Sablé-sur-Sarthe;5214;186;17586;1.0576595018764927
La Roche-sur-Yon;5218;1402;105800;1.3251417769376181
Les Sables-d'Olonne;5219;401;22229;1.8039497953124297
Lannion;5303;745;29983;2.4847413534336122
Brest;5306;2650;184848;1.433610317666407
Morlaix;5308;462;25889;1.7845416972459345
Saint-Malo;5313;714;43322;1.6481233553390886
Ploërmel;5316;190;14688;1.2935729847494555
